Month,DayOfWeek,IsHoliday,Temperature,Humidity,SquareFootArea,Occupancy,HVACUsage,LightingUsage,RenewableEnergy,DailyConsumption_kWh,MonthlyConsumption_kWh
8,0,0,21.3,63.6,2200,8,2.2,5.7,4.7,39.49,1175.79
1,3,0,10.7,64.7,1800,9,10.8,6.4,0.0,51.07,1560.27
11,4,0,17.1,54.3,5000,5,6.7,6.2,0.0,52.53,1589.89
1,4,0,17.0,57.7,1500,5,8.7,6.7,3.2,37.04,1091.55
2,6,1,15.9,53.7,1500,2,13.8,6.0,0.0,45.97,1419.08
2,2,1,22.3,46.5,3500,9,4.6,6.1,0.0,55.46,1616.42
12,2,0,10.4,49.3,1200,4,9.8,5.0,0.1,40.57,1224.82
6,1,0,32.9,62.3,5000,3,12.5,3.0,0.0,64.9,1982.49
7,1,0,30.2,28.7,4500,2,7.8,5.4,11.4,50.17,1488.19
5,4,0,29.1,70.1,2800,3,7.8,6.9,0.6,45.12,1375.78
1,2,0,12.0,55.2,5000,4,9.8,4.2,0.0,62.67,1874.23
1,0,0,18.8,50.1,1500,9,11.7,4.9,8.0,46.29,1397.51
3,3,0,19.3,63.9,1800,6,7.8,7.6,3.5,40.55,1235.12
2,2,0,12.0,75.3,3500,5,7.0,7.9,0.0,49.79,1480.26
5,6,0,25.9,64.1,800,9,6.0,4.6,0.0,38.11,1205.66
12,2,0,14.0,66.0,800,8,7.1,9.6,0.0,41.81,1265.73
10,5,0,24.2,70.5,800,6,3.3,6.2,0.0,32.86,1010.57
6,1,0,23.6,29.4,4500,3,6.5,6.7,12.7,44.99,1400.68
7,6,0,29.9,44.4,2800,7,8.7,5.2,8.4,52.47,1600.58
4,3,0,23.8,41.6,1500,6,6.9,6.0,0.0,37.07,1069.24
7,4,1,30.1,65.4,3500,8,5.8,6.4,0.0,58.64,1791.64
11,6,0,24.1,54.7,2800,6,7.6,4.3,0.3,46.92,1418.97
8,2,0,32.4,62.6,2200,4,7.5,7.9,0.0,44.55,1304.85
11,4,0,18.0,65.8,1500,7,6.4,5.6,0.0,35.96,1130.12
1,2,0,15.0,49.0,1800,7,6.3,4.9,0.0,38.31,1102.97
6,4,1,30.3,43.0,800,8,11.1,4.1,11.9,45.41,1337.44
8,3,0,30.7,68.0,5000,2,7.5,6.0,0.0,54.59,1618.78
5,1,1,17.8,41.4,2200,6,9.7,6.0,2.5,47.33,1362.49
4,3,0,20.6,54.0,1200,3,6.4,3.8,12.5,21.68,649.58
2,5,1,8.4,48.1,5000,8,10.6,6.0,1.0,75.1,2223.14
6,0,0,34.7,46.2,3500,4,10.3,6.1,0.0,55.39,1671.89
6,1,1,28.7,49.4,4500,4,6.6,4.8,0.0,54.54,1713.89
11,3,0,17.1,49.9,1500,2,8.0,5.8,3.2,33.7,1009.23
1,5,0,18.0,47.8,3500,6,6.0,5.6,0.5,47.52,1447.29
9,0,0,27.9,58.4,800,6,8.7,5.3,0.0,39.37,1180.23
12,5,1,10.0,49.9,2800,1,10.5,3.7,1.8,43.65,1295.3
11,2,0,17.7,49.6,2800,8,10.8,6.1,14.7,52.5,1607.87
6,2,0,27.4,38.7,2800,3,8.9,2.2,7.1,41.3,1196.75
3,4,1,10.1,54.1,1500,1,11.2,7.3,0.0,40.4,1256.86
4,1,0,18.9,63.8,2800,1,8.0,6.9,0.0,38.27,1113.28
12,2,0,14.2,78.1,1500,1,7.6,3.6,0.0,28.25,908.17
11,6,0,17.5,50.6,5000,5,8.4,3.3,6.2,55.92,1661.07
4,5,0,15.3,78.3,3500,5,7.5,7.3,0.0,48.31,1412.18
3,1,1,23.2,42.9,1800,1,5.8,4.9,0.0,28.09,847.28
10,6,0,21.5,70.5,1500,5,4.0,5.6,0.0,27.53,755.13
3,2,0,18.2,46.3,2800,7,8.1,5.7,0.2,46.31,1340.97
3,4,1,19.8,44.5,5000,5,5.2,3.5,0.0,51.72,1572.93
4,3,0,18.5,43.6,1500,9,8.0,7.1,4.0,45.15,1407.47
7,4,0,32.1,50.0,4500,4,9.3,6.1,5.2,59.2,1749.55
4,6,0,20.3,59.5,2800,9,5.6,5.9,0.0,47.55,1483.88
9,0,0,22.0,63.0,1800,8,4.6,2.4,0.0,33.97,1000.52
1,2,0,16.6,48.0,2200,1,9.9,5.9,0.3,37.77,1141.3
8,6,1,35.6,40.6,1500,4,9.6,6.0,0.0,48.62,1467.18
7,0,0,33.3,39.7,1200,7,12.9,5.6,6.3,50.98,1598.28
2,0,0,19.2,56.2,5000,1,4.9,6.5,9.0,45.25,1397.3
8,5,0,26.6,50.0,1500,8,10.7,7.5,3.2,48.79,1454.55
1,1,0,6.8,47.9,2800,2,10.4,5.7,4.2,46.56,1506.39
11,5,1,24.7,62.6,2200,8,8.8,3.5,2.7,49.75,1489.95
12,2,1,24.3,87.2,4500,4,4.4,3.5,0.0,46.88,1407.09
9,0,0,32.9,48.9,2200,8,7.0,4.8,0.0,48.82,1479.56
9,6,0,24.5,49.8,4500,1,7.6,4.7,1.8,47.3,1400.07
2,3,0,9.9,64.2,2200,5,7.3,6.8,3.0,43.21,1358.59
7,0,0,25.2,44.0,2800,9,9.9,6.4,0.0,55.59,1663.4
10,6,0,14.4,65.5,2200,7,8.7,5.5,0.0,46.18,1414.54
3,3,0,17.5,46.4,1200,3,5.8,6.2,0.9,25.89,653.29
7,5,0,37.2,72.7,2800,4,9.0,4.2,2.5,50.11,1509.22
12,5,0,14.4,64.1,3500,7,7.4,6.6,0.0,55.44,1648.07
10,1,0,23.4,50.1,1500,6,5.6,5.9,0.1,34.65,1042.71
9,6,0,32.2,47.9,1500,4,10.4,6.2,6.5,47.62,1376.49
4,0,0,20.2,46.3,3500,3,6.1,6.6,5.0,39.7,1182.78
12,4,0,24.2,76.5,1800,2,9.3,5.1,0.0,34.63,1047.16
1,5,0,23.0,44.1,1200,9,7.9,2.9,2.4,41.11,1217.25
2,5,1,14.5,49.5,5000,3,6.2,4.3,0.0,55.08,1679.27
1,1,0,11.4,52.6,5000,7,8.0,6.9,2.1,66.28,1991.29
12,3,0,18.2,59.8,2800,1,5.1,4.3,2.6,32.84,1013.86
5,1,0,24.4,47.4,1200,8,5.3,4.8,0.0,34.73,1085.85
5,0,0,20.8,32.8,1500,1,2.5,5.2,1.4,20.07,649.64
11,6,1,23.8,54.5,2200,2,8.7,6.8,7.8,36.61,1081.1
7,2,0,35.5,49.5,2200,1,12.9,5.8,0.8,49.93,1480.03
9,2,0,26.7,47.5,5000,4,5.7,8.0,9.1,56.21,1758.5
9,6,1,20.3,63.2,1500,2,4.0,5.8,0.0,28.34,808.89
3,3,0,12.5,66.0,1200,1,9.7,5.6,0.0,33.05,972.6
3,5,0,18.5,54.1,4500,1,5.1,4.7,2.1,43.27,1290.85
3,3,0,15.8,57.8,3500,2,10.1,2.9,0.0,45.92,1339.04
4,5,0,20.5,26.6,5000,6,4.7,5.8,11.7,53.63,1613.98
8,5,0,33.5,47.4,1500,2,5.5,5.3,2.0,31.26,992.48
6,2,0,32.2,62.1,2800,2,9.1,6.2,2.4,45.07,1266.03
8,3,0,35.1,47.4,2200,8,9.0,6.3,0.0,55.37,1637.87
1,1,1,9.5,50.5,2200,5,9.7,5.9,3.0,47.21,1421.67
8,5,0,27.4,79.8,4500,8,7.2,7.5,0.0,62.56,1947.21
4,4,0,25.4,74.3,800,8,8.5,5.4,0.0,40.15,1137.28
11,4,0,20.0,64.9,800,2,7.1,6.5,0.9,23.04,730.3
1,1,0,20.9,73.0,1500,7,6.7,7.6,2.8,39.08,1165.05
8,4,0,30.8,25.8,1200,9,9.3,5.1,4.5,47.84,1442.51
4,0,1,30.3,43.0,1200,8,8.8,5.2,5.1,47.76,1488.05
6,5,0,31.4,44.4,1200,9,6.3,4.7,2.3,39.72,1185.67
8,1,0,33.7,49.7,1800,8,10.6,3.8,2.5,53.36,1599.33
4,3,0,20.5,46.6,800,4,7.6,8.2,6.0,26.68,806.47
3,5,0,18.1,24.4,5000,7,7.6,10.5,12.9,60.45,1822.56
9,1,1,30.1,59.6,2200,9,8.3,6.2,5.0,57.68,1681.41
3,2,0,25.3,61.5,2200,9,8.5,5.4,0.0,50.68,1527.69
9,3,1,29.3,74.2,5000,4,9.0,8.0,0.0,63.35,1920.03
2,2,0,14.7,48.0,2200,7,9.3,6.6,0.0,46.69,1328.09
2,5,0,21.3,47.1,4500,6,5.9,4.5,5.1,48.54,1495.1
2,3,0,5.2,25.3,800,3,7.9,4.0,4.8,30.53,957.08
6,4,0,22.5,46.5,800,6,6.1,6.8,6.9,32.81,995.68
3,1,0,21.1,65.8,1800,8,4.1,6.4,0.0,38.89,1106.2
9,5,0,26.1,47.7,4500,2,6.6,6.9,4.2,51.1,1503.8
4,0,0,24.7,78.2,1500,3,7.3,6.4,0.0,32.09,858.05
1,3,0,14.3,56.3,800,8,10.0,4.0,2.8,37.46,1107.7
4,3,0,24.6,54.3,5000,4,8.4,4.2,2.7,57.26,1676.69
1,6,0,10.3,43.0,5000,4,9.6,4.1,0.0,60.77,1820.04
5,5,1,28.6,54.1,5000,2,10.8,5.5,1.9,60.31,1854.37
4,5,0,26.5,28.7,5000,1,7.7,4.9,14.5,50.2,1483.4
8,2,0,34.4,60.8,1200,7,10.4,5.0,2.6,49.46,1502.3
8,6,0,38.0,61.2,1800,4,10.3,4.9,11.6,47.81,1430.36
7,4,0,31.1,67.0,1200,6,6.9,6.6,0.0,38.13,1103.22
3,2,0,19.2,42.8,3500,8,7.7,5.5,5.8,54.08,1685.81
1,6,0,7.1,61.3,1500,7,7.0,4.7,0.0,43.65,1346.74
1,2,0,11.6,66.1,5000,7,7.0,3.7,0.0,59.95,1748.62
12,4,1,14.2,65.3,3500,6,8.4,4.2,0.0,56.22,1706.78
11,6,0,22.7,48.9,4500,4,4.8,7.0,5.8,46.42,1383.26
3,6,0,15.3,26.3,5000,4,7.7,4.4,3.5,53.86,1638.86
6,0,0,32.5,54.2,4500,9,9.7,8.6,7.8,72.05,2101.15
7,2,0,30.0,48.8,3500,5,7.6,6.4,0.0,51.37,1525.42
6,2,0,28.1,43.2,5000,9,8.2,4.7,2.1,67.64,2045.12
6,3,0,30.0,59.2,800,9,8.8,5.0,0.0,43.37,1252.15
6,4,0,27.2,49.5,1800,4,5.6,2.2,0.0,32.66,991.45
3,1,0,16.1,39.2,1800,2,8.6,4.5,5.1,33.49,989.63
